,id,user_edad,car_marca,car_modelo,car_tipo,car_kilometraje,car_transmision,car_plataforma,deduccion_deduccion_kilometraje,deduccion_tipo_vehiculo,deduccion_mecanica,deduccion_carroceria,deduccion_suspension,deduccion_neumaticos,deduccion_cristales,deduccion_tenencias,deduccion_infracciones,deduccion_propietario,deduccion_extemporanea,deduccion_totalDescuentos,ajuste_monto_solicitado_cliente,ajuste_precio_guia_autometrica,ajuste_valor_avaluo,ajuste_tipo_vehiculo,ajuste_avaluo_km,ajuste_avaluo_ajustado,ajuste_avaluo_tipo_vehiculo,ajuste_multas,ajuste_tramites,ajuste_averia_estetica_mecanica,ajuste_monto_prestar,ajuste_margen_favor
108,202,25.525264936439303,Chevrolet,2015,CHEVROLET SPARK PAQ C,117974,manual,no,0.0,0,,,0,,,,,,,0,1,88300,61809,,0,61809,0,0,0,0,61809,61808
109,203,32.637156463121904,Toyota,2021,TOYOTA YARIS S SEDAN,29700,manual,no,0.0,0,,,0,,,,,,,0,1,231400,161980,,0,161980,0,0,0,0,161980,161979
110,204,32.94196084505015,Hyundai,2020,CAMIONETA CRETA HYUNDAI,62496,automatica,no,1.9,0,,,0,,,,,,,0,60000,222700,155890,,4231,151659,0,0,0,0,151659,91659
111,205,25.962323843960256,FIAT,2019,FIAT PALIO,55000,manual,no,0.0,0,,,0,,,,,,,0,1,197000,137900,,0,137900,0,0,0,0,137900,137899
112,206,38.0,SEAT,2019,SEAT IBIZA XCELLCENTE 1.6,57878,manual,no,0.0,0,0.0,0.0,0,0.0,0.0,33380.0,360.0,0.0,2075.0,35815,1,210000,147000,,0,147000,0,35815,0,0,111185,111184
113,207,29.64800767146905,Audi,2017,AUDI A4 SPORT S LINE TURBO 2.0,100000,automatica,no,0.0,0,,,0,,,,,,,0,1,275400,192780,,0,192780,0,0,0,0,192780,192779
114,208,27.782244693425252,Nissan,2015,NISSAN TIDA SENSE TM,65000,manual,no,0.0,0,,,0,,,,,,,0,1,115400,80780,,0,80780,0,0,0,0,80780,80779
115,209,28.214549986956726,Mazda,2019,MAZDA CX5 BASICO,90000,manual,no,6.0,0,,,0,,,,,,,0,1,277199,194039,,0,194039,0,0,0,0,194039,194038
116,210,28.81868273401173,Ford,2012,FORD FOCUS SE,102300,automatica,no,0.0,35,,,0,,,,,,,0,1,102299,71609,,0,46546,25063,0,0,0,46546,46545
117,211,27.25063377443435,Lincoln,2013,Lincon  MKZ LUJO,182000,automatica,no,13.2,0,,,0,,,,,,,0,1,184800,129359,,24393,104966,0,0,0,0,104966,104965
118,212,25.491643829766993,Nissan,2018,NISSAN KICKS 2018 5P,52000,manual,no,0.0,0,,,0,,,,,,,0,1,213100,149170,,0,149170,0,0,0,0,149170,149169
119,213,26.540563203581645,Volkswagen,2021,VOLKSWAGEN VENTO COMFORTLINE PLUS,34000,manual,no,0.0,0,,,0,,,,,,,0,1,226800,158760,,0,158760,0,0,0,0,158760,158759
